RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30
394910,46,"New Orleans, LA",Msa,LA,250000.0,247900.0,240000.0,240000.0,249900.0,259000.0,262500.0,265000.0,263500.0,259900.0,257500.0,254900.0,250000.0,250000.0,250000.0,256000.0,264000.0,269900.0,274900.0,273400.0,269900.0,269000.0,269000.0,268000.0,267085.0,264900.0,260000.0,264500.0,270000.0,275000.0,284400.0,289000.0,294000.0,299900.0,299000.0,299900.0,299000.0,299105.0,295500.0,299000.0,299999.0,319000.0
394425,47,"Buffalo, NY",Msa,NY,182823.0,177701.0,177597.0,188050.0,198503.0,203834.0,209059.0,208956.0,208956.0,207492.0,206970.0,198503.0,193381.0,188050.0,188154.0,197457.0,202684.0,208956.0,219409.0,219409.0,224635.0,208956.0,208747.0,208015.0,198503.0,198503.0,198503.0,203729.0,209060.0,222963.0,235088.0,245646.0,240315.0,229862.0,228921.0,219409.0,209059.0,209059.0,209900.0,235000.0,249900.0,259900.0
395012,48,"Raleigh, NC",Msa,NC,359900.0,358900.0,355000.0,365000.0,379900.0,385000.0,385000.0,379900.0,379000.0,374900.0,369000.0,359000.0,358000.0,355000.0,354500.0,360000.0,375000.0,385000.0,389900.0,385000.0,375900.0,374900.0,374900.0,369900.0,362500.0,359900.0,359900.0,369900.0,379000.0,371410.0,387000.0,395000.0,399900.0,404900.0,406670.0,396499.0,392000.0,398000.0,395900.0,402526.0,410000.0,414999.0
394388,49,"Birmingham, AL",Msa,AL,209900.0,205900.0,204250.0,212000.0,229900.0,239000.0,239900.0,239900.0,239900.0,239900.0,235000.0,229000.0,229000.0,229900.0,229900.0,239900.0,249900.0,259900.0,266000.0,269900.0,275020.0,270000.0,272245.0,274305.0,269900.0,265000.0,264900.0,268000.0,269900.0,269900.0,279900.0,284900.0,282400.0,279600.0,271000.0,273900.0,274133.0,278150.0,277900.0,279900.0,279900.0,295000.0
395053,50,"Salt Lake City, UT",Msa,UT,413414.0,417764.0,429040.0,429470.0,438765.0,446706.0,451056.0,451056.0,451056.0,440317.0,434947.0,428933.0,428503.0,429040.0,429338.0,440209.0,450949.0,467058.0,472534.0,472427.0,461795.0,456426.0,456318.0,456318.0,459068.0,467165.0,477797.0,493906.0,493906.0,472427.0,483167.0,501531.0,504742.0,499383.0,494041.0,494449.0,514419.0,535897.0,"","","",""
395031,51,"Rochester, NY",Msa,NY,183336.0,183336.0,188839.0,204918.0,214198.0,225528.0,232003.0,226499.0,214737.0,210420.0,204918.0,201681.0,199522.0,204918.0,215709.0,233298.0,243873.0,256919.0,253477.0,253477.0,248189.0,242686.0,226499.0,215709.0,214737.0,207723.0,218191.0,242686.0,257901.0,269663.0,269663.0,269663.0,275165.0,268692.0,247649.0,248081.0,248081.0,269107.0,271950.0,289900.0,287000.0,278000.0
394640,52,"Grand Rapids, MI",Msa,MI,245271.0,249984.0,260564.0,272684.0,283745.0,288554.0,288458.0,288554.0,283745.0,274127.0,274030.0,274607.0,278840.0,278840.0,278840.0,287592.0,297115.0,303848.0,302886.0,298077.0,294229.0,288458.0,287496.0,278840.0,278840.0,278840.0,287592.0,293267.0,302982.0,307695.0,307695.0,307791.0,312504.0,307791.0,307695.0,309900.0,317200.0,319900.0,324900.0,338900.0,339900.0,341900.0
395167,53,"Tucson, AZ",Msa,AZ,259900.0,259500.0,262900.0,270000.0,275000.0,279900.0,284999.0,279000.0,279900.0,280000.0,284900.0,279900.0,279000.0,279000.0,279999.0,285900.0,297000.0,299000.0,299900.0,295000.0,291160.0,290000.0,293500.0,292840.0,291000.0,289900.0,295000.0,299900.0,300000.0,298000.0,304900.0,325000.0,329900.0,335000.0,319975.0,315000.0,324000.0,325000.0,330590.0,349900.0,365000.0,379000.0
753924,54,"Urban Honolulu, HI",Msa,HI,643011.0,651792.0,653744.0,642035.0,629350.0,634229.0,643011.0,653256.0,653744.0,660574.0,661550.0,652768.0,658525.0,658622.0,668380.0,653744.0,658622.0,653744.0,653744.0,661550.0,658622.0,653744.0,643011.0,634229.0,634042.0,633253.0,624472.0,623496.0,614714.0,600078.0,585442.0,604384.0,609836.0,595200.0,575685.0,580564.0,584466.0,600078.0,"","","",""
395169,55,"Tulsa, OK",Msa,OK,196043.0,192383.0,192383.0,197076.0,205522.0,210214.0,206460.0,206460.0,206460.0,206459.0,205991.0,206366.0,206366.0,206366.0,207187.0,214812.0,224291.0,229828.0,234520.0,232737.0,233675.0,230860.0,234614.0,239118.0,239212.0,238368.0,234426.0,238837.0,248597.0,253289.0,262674.0,276375.0,277102.0,276844.0,276840.0,279900.0,276790.0,275000.0,277173.0,279000.0,316090.0,315000.0
