County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
HARRIS COUNTY,County,TX,1997-06-30,104108.0,89510.0,220304.0,137951.0,89875.0,67610.0,82317.0,1997
FORT BEND COUNTY,County,TX,1997-06-30,142014.0,99620.0,245463.0,165875.0,97064.0,87787.0,103711.0,1997
MONTGOMERY COUNTY,County,TX,1997-06-30,146379.0,99099.0,316049.0,191759.0,120320.0,89018.0,62009.0,1997
GALVESTON COUNTY,County,TX,1997-06-30,108321.0,90733.0,206799.0,150448.0,100231.0,76714.0,60648.0,1997
TRINITY COUNTY,County,TX,1997-06-30,,,,,,,,1997
TRINITY COUNTY,County,TX,1997-07-31,,,,,,,,1997
MONTGOMERY COUNTY,County,TX,1997-07-31,146725.0,98850.0,317560.0,192344.0,120539.0,88883.0,61105.0,1997
GALVESTON COUNTY,County,TX,1997-07-31,108985.0,91131.0,211037.0,152076.0,100910.0,76558.0,60599.0,1997
HARRIS COUNTY,County,TX,1997-07-31,104285.0,89680.0,220635.0,138169.0,90022.0,67975.0,82686.0,1997
FORT BEND COUNTY,County,TX,1997-07-31,142315.0,99196.0,246117.0,166107.0,97374.0,86744.0,102007.0,1997
HARRIS COUNTY,County,TX,1997-08-31,104474.0,89493.0,221048.0,138357.0,90159.0,68197.0,82108.0,1997
FORT BEND COUNTY,County,TX,1997-08-31,142652.0,98403.0,247391.0,166452.0,97555.0,85818.0,100445.0,1997
MONTGOMERY COUNTY,County,TX,1997-08-31,147606.0,98938.0,318303.0,193365.0,121171.0,88789.0,62236.0,1997
GALVESTON COUNTY,County,TX,1997-08-31,109557.0,91609.0,214202.0,153196.0,101563.0,76210.0,60372.0,1997
TRINITY COUNTY,County,TX,1997-08-31,,,,,,,,1997
MONTGOMERY COUNTY,County,TX,1997-09-30,148402.0,98457.0,319991.0,194526.0,121673.0,88656.0,62958.0,1997
TRINITY COUNTY,County,TX,1997-09-30,,,,,,,,1997
GALVESTON COUNTY,County,TX,1997-09-30,109996.0,91869.0,216704.0,154096.0,102094.0,75965.0,60504.0,1997
FORT BEND COUNTY,County,TX,1997-09-30,143029.0,97993.0,248267.0,166970.0,97732.0,85222.0,98973.0,1997
HARRIS COUNTY,County,TX,1997-09-30,104575.0,89461.0,221333.0,138354.0,90235.0,68266.0,81448.0,1997
HARRIS COUNTY,County,TX,1997-10-31,104682.0,88937.0,221213.0,138320.0,90339.0,68314.0,80584.0,1997
FORT BEND COUNTY,County,TX,1997-10-31,143422.0,97204.0,249205.0,167523.0,97937.0,85150.0,97839.0,1997
MONTGOMERY COUNTY,County,TX,1997-10-31,149299.0,98244.0,321430.0,195701.0,122316.0,88679.0,63495.0,1997
GALVESTON COUNTY,County,TX,1997-10-31,110624.0,92877.0,218214.0,155261.0,102689.0,76269.0,61216.0,1997
TRINITY COUNTY,County,TX,1997-10-31,,,,,,,,1997
TRINITY COUNTY,County,TX,1997-11-30,,,,,,,,1997
MONTGOMERY COUNTY,County,TX,1997-11-30,149853.0,97948.0,323006.0,196110.0,122765.0,88623.0,63405.0,1997
GALVESTON COUNTY,County,TX,1997-11-30,111315.0,94187.0,219552.0,156443.0,103292.0,76855.0,62463.0,1997
HARRIS COUNTY,County,TX,1997-11-30,104850.0,88416.0,221408.0,138436.0,90491.0,68450.0,80245.0,1997
FORT BEND COUNTY,County,TX,1997-11-30,143973.0,96551.0,249725.0,168212.0,98290.0,85445.0,97733.0,1997
HARRIS COUNTY,County,TX,1997-12-31,105009.0,87772.0,221881.0,138616.0,90617.0,68562.0,80130.0,1997
FORT BEND COUNTY,County,TX,1997-12-31,144526.0,96761.0,250831.0,168922.0,98708.0,85991.0,97652.0,1997
MONTGOMERY COUNTY,County,TX,1997-12-31,150229.0,97962.0,324533.0,196346.0,123175.0,88626.0,63762.0,1997
GALVESTON COUNTY,County,TX,1997-12-31,112101.0,95824.0,219959.0,157319.0,103904.0,77808.0,64206.0,1997
TRINITY COUNTY,County,TX,1997-12-31,,,,,,,,1997
GALVESTON COUNTY,County,TX,1998-01-31,112693.0,97079.0,220847.0,157763.0,104414.0,78460.0,65538.0,1998
TRINITY COUNTY,County,TX,1998-01-31,,,,,,,,1998
FORT BEND COUNTY,County,TX,1998-01-31,145900.0,97651.0,253752.0,170600.0,99648.0,87165.0,99814.0,1998
HARRIS COUNTY,County,TX,1998-01-31,105635.0,87720.0,222959.0,139311.0,91136.0,69337.0,80627.0,1998
MONTGOMERY COUNTY,County,TX,1998-01-31,150522.0,98441.0,325224.0,196173.0,123474.0,89114.0,65059.0,1998
TRINITY COUNTY,County,TX,1998-02-28,,,,,,,,1998
HARRIS COUNTY,County,TX,1998-02-28,106266.0,88030.0,223745.0,139948.0,91651.0,70326.0,81374.0,1998
FORT BEND COUNTY,County,TX,1998-02-28,147094.0,98286.0,256360.0,172126.0,100473.0,88192.0,101819.0,1998
MONTGOMERY COUNTY,County,TX,1998-02-28,150621.0,98687.0,325618.0,196118.0,123583.0,89453.0,66004.0,1998
GALVESTON COUNTY,County,TX,1998-02-28,113159.0,98618.0,222774.0,159156.0,104723.0,79288.0,67222.0,1998
MONTGOMERY COUNTY,County,TX,1998-03-31,150657.0,98466.0,325406.0,195991.0,123594.0,89617.0,66241.0,1998
GALVESTON COUNTY,County,TX,1998-03-31,113283.0,100346.0,223004.0,159047.0,104714.0,80247.0,70365.0,1998
HARRIS COUNTY,County,TX,1998-03-31,106940.0,88391.0,224574.0,140636.0,92207.0,71371.0,82199.0,1998
FORT BEND COUNTY,County,TX,1998-03-31,148410.0,98527.0,259209.0,173736.0,101367.0,89239.0,104914.0,1998
TRINITY COUNTY,County,TX,1998-03-31,,,,,,,,1998
TRINITY COUNTY,County,TX,1998-04-30,,,,,,,,1998
MONTGOMERY COUNTY,County,TX,1998-04-30,150570.0,97978.0,326020.0,195868.0,123486.0,89358.0,65968.0,1998
GALVESTON COUNTY,County,TX,1998-04-30,113548.0,101217.0,223478.0,159305.0,104681.0,81477.0,73455.0,1998
FORT BEND COUNTY,County,TX,1998-04-30,148929.0,98194.0,260111.0,174261.0,101793.0,89304.0,105197.0,1998
HARRIS COUNTY,County,TX,1998-04-30,107129.0,88988.0,224639.0,140655.0,92303.0,72205.0,83367.0,1998
HARRIS COUNTY,County,TX,1998-05-31,107360.0,89402.0,224790.0,140763.0,92446.0,72883.0,84485.0,1998
FORT BEND COUNTY,County,TX,1998-05-31,149547.0,98102.0,261400.0,174947.0,102243.0,89711.0,106766.0,1998
MONTGOMERY COUNTY,County,TX,1998-05-31,150619.0,97672.0,325948.0,195775.0,123463.0,89353.0,66399.0,1998
GALVESTON COUNTY,County,TX,1998-05-31,113685.0,101466.0,222609.0,158209.0,104785.0,82045.0,74845.0,1998
TRINITY COUNTY,County,TX,1998-05-31,,,,,,,,1998
GALVESTON COUNTY,County,TX,1998-06-30,114300.0,101346.0,224244.0,158684.0,105293.0,82896.0,74612.0,1998
MONTGOMERY COUNTY,County,TX,1998-06-30,150763.0,97777.0,327440.0,195406.0,123592.0,89514.0,67314.0,1998
TRINITY COUNTY,County,TX,1998-06-30,,,,,,,,1998
HARRIS COUNTY,County,TX,1998-06-30,107533.0,89933.0,225048.0,140880.0,92529.0,73503.0,85533.0,1998
FORT BEND COUNTY,County,TX,1998-06-30,150235.0,98296.0,262842.0,175885.0,102704.0,90240.0,107605.0,1998
HARRIS COUNTY,County,TX,1998-07-31,107762.0,90111.0,225415.0,141137.0,92709.0,73964.0,86166.0,1998
FORT BEND COUNTY,County,TX,1998-07-31,150938.0,98489.0,264329.0,177046.0,103059.0,91371.0,110281.0,1998
MONTGOMERY COUNTY,County,TX,1998-07-31,151034.0,97726.0,326799.0,195239.0,123883.0,89787.0,67793.0,1998
GALVESTON COUNTY,County,TX,1998-07-31,114912.0,102631.0,225300.0,159199.0,105903.0,83909.0,74505.0,1998
TRINITY COUNTY,County,TX,1998-07-31,,,,,,,,1998
HARRIS COUNTY,County,TX,1998-08-31,107934.0,90620.0,225495.0,141325.0,92837.0,74517.0,87419.0,1998
FORT BEND COUNTY,County,TX,1998-08-31,151592.0,99172.0,265671.0,178237.0,103498.0,92393.0,111439.0,1998
MONTGOMERY COUNTY,County,TX,1998-08-31,151311.0,98573.0,325917.0,195192.0,124291.0,90244.0,68433.0,1998
GALVESTON COUNTY,County,TX,1998-08-31,115714.0,104082.0,227514.0,160352.0,106480.0,85501.0,75425.0,1998
TRINITY COUNTY,County,TX,1998-08-31,,,,,,,,1998
GALVESTON COUNTY,County,TX,1998-09-30,116563.0,105598.0,229828.0,161760.0,107076.0,86877.0,76333.0,1998
TRINITY COUNTY,County,TX,1998-09-30,,,,,,,,1998
FORT BEND COUNTY,County,TX,1998-09-30,152192.0,99549.0,267181.0,179300.0,103952.0,93158.0,112615.0,1998
HARRIS COUNTY,County,TX,1998-09-30,108114.0,91087.0,225344.0,141535.0,92977.0,74977.0,88709.0,1998
MONTGOMERY COUNTY,County,TX,1998-09-30,151623.0,99240.0,323868.0,195500.0,124674.0,90596.0,68994.0,1998
HARRIS COUNTY,County,TX,1998-10-31,108332.0,91557.0,225621.0,141819.0,93134.0,75323.0,89774.0,1998
FORT BEND COUNTY,County,TX,1998-10-31,152812.0,99891.0,268262.0,180194.0,104463.0,93530.0,112824.0,1998
MONTGOMERY COUNTY,County,TX,1998-10-31,151966.0,100034.0,323034.0,195622.0,124988.0,91116.0,70027.0,1998
GALVESTON COUNTY,County,TX,1998-10-31,117158.0,105952.0,232877.0,162607.0,107524.0,87665.0,76664.0,1998
TRINITY COUNTY,County,TX,1998-10-31,,,,,,,,1998
TRINITY COUNTY,County,TX,1998-11-30,,,,,,,,1998
GALVESTON COUNTY,County,TX,1998-11-30,117521.0,105875.0,235494.0,163320.0,107820.0,88098.0,76421.0,1998
FORT BEND COUNTY,County,TX,1998-11-30,153493.0,100131.0,269432.0,180966.0,105003.0,94003.0,113950.0,1998
HARRIS COUNTY,County,TX,1998-11-30,108252.0,91664.0,225268.0,141677.0,93048.0,75353.0,90086.0,1998
MONTGOMERY COUNTY,County,TX,1998-11-30,152102.0,99913.0,323515.0,195685.0,124949.0,91306.0,70457.0,1998
TRINITY COUNTY,County,TX,1998-12-31,,,,,,,,1998
HARRIS COUNTY,County,TX,1998-12-31,108165.0,91909.0,224924.0,141478.0,92971.0,75483.0,90423.0,1998
FORT BEND COUNTY,County,TX,1998-12-31,154040.0,100441.0,270188.0,181603.0,105386.0,94051.0,114291.0,1998
MONTGOMERY COUNTY,County,TX,1998-12-31,152317.0,99471.0,324267.0,195698.0,124918.0,91435.0,69679.0,1998
GALVESTON COUNTY,County,TX,1998-12-31,117662.0,105730.0,238374.0,163856.0,107980.0,88136.0,75978.0,1998
MONTGOMERY COUNTY,County,TX,1999-01-31,152553.0,99164.0,324769.0,195967.0,125015.0,91352.0,68709.0,1999
GALVESTON COUNTY,County,TX,1999-01-31,118055.0,106254.0,240050.0,165047.0,108246.0,88673.0,76264.0,1999
HARRIS COUNTY,County,TX,1999-01-31,108217.0,92086.0,224610.0,141486.0,93024.0,75681.0,90681.0,1999
FORT BEND COUNTY,County,TX,1999-01-31,154302.0,100889.0,270389.0,181882.0,105688.0,93780.0,113355.0,1999
TRINITY COUNTY,County,TX,1999-01-31,,,,,,,,1999
TRINITY COUNTY,County,TX,1999-02-28,,,,,,,,1999
MONTGOMERY COUNTY,County,TX,1999-02-28,153203.0,99130.0,325184.0,196446.0,125546.0,91613.0,67792.0,1999
GALVESTON COUNTY,County,TX,1999-02-28,118720.0,107734.0,241337.0,166437.0,108695.0,89422.0,76728.0,1999
FORT BEND COUNTY,County,TX,1999-02-28,154778.0,101560.0,271269.0,182340.0,106137.0,93376.0,111843.0,1999
HARRIS COUNTY,County,TX,1999-02-28,108830.0,92771.0,225590.0,142193.0,93556.0,76213.0,91615.0,1999
HARRIS COUNTY,County,TX,1999-03-31,109737.0,92831.0,227381.0,143323.0,94328.0,76835.0,91853.0,1999
