City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"Houston, TX",Msa,TX,2018-08-31,317434.0,238000.0,54.0,41996.0,2018,Aug,8,Friday,5
"Houston, TX",Msa,TX,2019-07-31,317337.0,250000.0,55.0,46648.0,2019,Jul,7,Wednesday,3
"Houston, TX",Msa,TX,2018-09-30,312551.0,231185.0,59.0,39514.0,2018,Sep,9,Sunday,0
"Houston, TX",Msa,TX,2020-02-29,303663.0,247000.0,65.0,39605.0,2020,Feb,2,Saturday,6
"Houston, TX",Msa,TX,2018-02-28,321341.0,223900.0,67.0,32192.0,2018,Feb,2,Wednesday,3
"Houston, TX",Msa,TX,2018-11-30,307667.0,232500.0,66.0,37340.0,2018,Nov,11,Friday,5
"Houston, TX",Msa,TX,2020-07-31,327202.0,268708.0,51.0,39100.0,2020,Jul,7,Friday,5
"Houston, TX",Msa,TX,2020-01-31,301709.0,237000.0,77.0,38776.0,2020,Jan,1,Friday,5
"Houston, TX",Msa,TX,2021-02-28,336314.0,274900.0,36.0,25823.0,2021,Feb,2,Sunday,0
"Houston, TX",Msa,TX,2020-11-30,337000.0,267825.0,45.0,30495.0,2020,Nov,11,Monday,1
"Houston, TX",Msa,TX,2018-10-31,312063.0,230000.0,62.0,39442.0,2018,Oct,10,Wednesday,3
"New York, NY",Msa,NY,2019-08-31,569900.0,430900.0,87.0,92364.0,2019,Aug,8,Saturday,6
"New York, NY",Msa,NY,2020-06-30,614900.0,450000.0,72.0,77357.0,2020,Jun,6,Tuesday,2
"New York, NY",Msa,NY,2020-05-31,599000.0,434500.0,83.0,69187.0,2020,May,5,Sunday,0
"New York, NY",Msa,NY,2019-12-31,579000.0,420000.0,104.0,72019.0,2019,Dec,12,Tuesday,2
"New York, NY",Msa,NY,2019-09-30,575000.0,425000.0,92.0,93119.0,2019,Sep,9,Monday,1
"New York, NY",Msa,NY,2019-11-30,579000.0,420122.0,95.0,81826.0,2019,Nov,11,Saturday,6
"New York, NY",Msa,NY,2020-12-31,660000.0,470000.0,74.0,61810.0,2020,Dec,12,Thursday,4
"New York, NY",Msa,NY,2020-02-29,585000.0,425000.0,98.0,74546.0,2020,Feb,2,Saturday,6
"New York, NY",Msa,NY,2020-11-30,659000.0,477000.0,64.0,71003.0,2020,Nov,11,Monday,1
"New York, NY",Msa,NY,2020-09-30,649900.0,460000.0,64.0,81642.0,2020,Sep,9,Wednesday,3
"New York, NY",Msa,NY,2019-10-31,579000.0,420000.0,89.0,90600.0,2019,Oct,10,Thursday,4
"New York, NY",Msa,NY,2020-08-31,649000.0,457550.0,64.0,81013.0,2020,Aug,8,Monday,1
"New York, NY",Msa,NY,2020-10-31,655000.0,469900.0,60.0,80010.0,2020,Oct,10,Saturday,6
"New York, NY",Msa,NY,2020-03-31,599000.0,422000.0,94.0,78648.0,2020,Mar,3,Tuesday,2
"New York, NY",Msa,NY,2020-07-31,630000.0,447000.0,66.0,82669.0,2020,Jul,7,Friday,5
"New York, NY",Msa,NY,2020-04-30,599000.0,431900.0,85.0,64316.0,2020,Apr,4,Thursday,4
